about	Thing 	"The subject matter of the content.
Inverse property: subjectOf."
image	"ImageObject  or 
URL "	An image of the item. This can be a URL or a fully described ImageObject.
mainEntityOfPage	"CreativeWork  or 
URL "	"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notesfor details.
Inverse property: mainEntity."
name	Text 	The name of the item.
potentialAction	Action 	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.
sameAs	URL 	URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
subjectOf	"CreativeWork  or 
Event "	"A CreativeWork or Event about this Thing..
Inverse property: about."
url	URL 	URL of the item.
actionableFeedbackPolicy	"CreativeWork  or 
URL "	For a NewsMediaOrganization or other news-related Organization, a statement about public engagement activities (for news media, the newsroom’s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication.
address	"PostalAddress  or 
Text "	Physical address of the item.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
alumni	Person 	"Alumni of an organization.
Inverse property: alumniOf."
areaServed	"AdministrativeArea  or 
GeoShape  or 
Place  or 
Text "	The geographic area where a service or offered item is provided. Supersedes serviceArea.
award	Text 	An award won by or for this item. Supersedes awards.
brand	"Brand  or 
Organization "	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
contactPoint	ContactPoint 	A contact point for a person or organization. Supersedes contactPoints.
correctionsPolicy	"CreativeWork  or 
URL "	For an Organization (e.g. NewsMediaOrganization), a statement describing (in news media, the newsroom’s) disclosure and correction policy for errors.
department	Organization 	A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.
dissolutionDate	Date 	The date that this organization was dissolved.
diversityPolicy	"CreativeWork  or 
URL "	Statement on diversity policy by an Organization e.g. a NewsMediaOrganization. For a NewsMediaOrganization, a statement describing the newsroom’s diversity policy on both staffing and sources, typically providing staffing data.
duns	Text 	The Dun & Bradstreet DUNS number for identifying an organization or business person.
email	Text 	Email address.
employee	Person 	Someone working for this organization. Supersedes employees.
ethicsPolicy	"CreativeWork  or 
URL "	Statement about ethics policy, e.g. of a NewsMediaOrganization regarding journalistic and publishing practices, or of a Restaurant, a page describing food source policies. In the case of a NewsMediaOrganization, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization.
event	Event 	Upcoming or past event associated with this place, organization, or action. Supersedes events.
faxNumber	Text 	The fax number.
founder	Person 	A person who founded this organization. Supersedes founders.
foundingDate	Date 	The date that this organization was founded.
foundingLocation	Place 	The place where the Organization was founded.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
globalLocationNumber	Text 	The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
hasOfferCatalog	OfferCatalog 	Indicates an OfferCatalog listing for this Organization, Person, or Service.
hasPOS	Place 	Points-of-Sales operated by the organization or person.
isicV4	Text 	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
legalName	Text 	The official name of the organization, e.g. the registered company name.
leiCode	Text 	An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.
location	"Place  or 
PostalAddress  or 
Text "	The location of for example where the event is happening, an organization is located, or where an action takes place.
logo	"ImageObject  or 
URL "	An associated logo.
makesOffer	Offer 	"A pointer to products or services offered by the organization or person.
Inverse property: offeredBy."
member	"Organization  or 
Person "	"A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals. Supersedes members, musicGroupMember.
Inverse property: memberOf."
memberOf	"Organization  or 
ProgramMembership "	"An Organization (or ProgramMembership) to which this Person or Organization belongs.
Inverse property: member."
naics	Text 	The North American Industry Classification System (NAICS) code for a particular organization or business person.
numberOfEmployees	QuantitativeValue 	The number of employees in an organization e.g. business.
owns	"OwnershipInfo  or 
Product "	Products owned by the organization or person.
parentOrganization	Organization 	"The larger organization that this organization is a subOrganization of, if any. Supersedes branchOf.
Inverse property: subOrganization."
publishingPrinciples	"CreativeWork  or 
URL "	"The publishingPrinciples property indicates (typically via URL) a document describing the editorial principles of an Organization (or individual e.g. a Person writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a CreativeWork (e.g. NewsArticle) the principles are those of the party primarily responsible for the creation of the CreativeWork.
While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a funder) can be expressed using schema.org terminology."
review	Review 	A review of the item. Supersedes reviews.
seeks	Demand 	A pointer to products or services sought by the organization or person (demand).
sponsor	"Organization  or 
Person "	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
subOrganization	Organization 	"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.
Inverse property: parentOrganization."
taxID	Text 	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
telephone	Text 	The telephone number.
unnamedSourcesPolicy	"CreativeWork  or 
URL "	For an Organization (typically a NewsMediaOrganization), a statement about policy on use of unnamed sources and the decision process required.
vatID	Text 	The Value-added Tax ID of the organization or person.
additionalName	Text 	An additional name for a Person, can be used for a middle name.
address	"PostalAddress  or 
Text "	Physical address of the item.
affiliation	Organization 	An organization that this person is affiliated with. For example, a school/university, a club, or a team.
alumniOf	"EducationalOrganization  or 
Organization "	"An organization that the person is an alumni of.
Inverse property: alumni."
award	Text 	An award won by or for this item. Supersedes awards.
birthDate	Date 	Date of birth.
birthPlace	Place 	The place where the person was born.
brand	"Brand  or 
Organization "	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
children	Person 	A child of the person.
colleague	"Person  or 
URL "	A colleague of the person. Supersedes colleagues.
contactPoint	ContactPoint 	A contact point for a person or organization. Supersedes contactPoints.
deathDate	Date 	Date of death.
deathPlace	Place 	The place where the person died.
duns	Text 	The Dun & Bradstreet DUNS number for identifying an organization or business person.
email	Text 	Email address.
familyName	Text 	Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.
faxNumber	Text 	The fax number.
follows	Person 	The most generic uni-directional social relation.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
gender	"GenderType  or 
Text "	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.
givenName	Text 	Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property.
globalLocationNumber	Text 	The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
hasOccupation	Occupation 	The Person's occupation. For past professions, use Role for expressing dates.
hasOfferCatalog	OfferCatalog 	Indicates an OfferCatalog listing for this Organization, Person, or Service.
hasPOS	Place 	Points-of-Sales operated by the organization or person.
height	"Distance  or 
QuantitativeValue "	The height of the item.
homeLocation	"ContactPoint  or 
Place "	A contact location for a person's residence.
honorificPrefix	Text 	An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.
honorificSuffix	Text 	An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.
isicV4	Text 	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
jobTitle	Text 	The job title of the person (for example, Financial Manager).
knows	Person 	The most generic bi-directional social/work relation.
makesOffer	Offer 	"A pointer to products or services offered by the organization or person.
Inverse property: offeredBy."
memberOf	"Organization  or 
ProgramMembership "	"An Organization (or ProgramMembership) to which this Person or Organization belongs.
Inverse property: member."
naics	Text 	The North American Industry Classification System (NAICS) code for a particular organization or business person.
nationality	Country 	Nationality of the person.
netWorth	"MonetaryAmount  or 
PriceSpecification "	The total financial value of the person as calculated by subtracting assets from liabilities.
owns	"OwnershipInfo  or 
Product "	Products owned by the organization or person.
parent	Person 	A parent of this person. Supersedes parents.
performerIn	Event 	Event that this person is a performer or participant in.
publishingPrinciples	"CreativeWork  or 
URL "	"The publishingPrinciples property indicates (typically via URL) a document describing the editorial principles of an Organization (or individual e.g. a Person writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a CreativeWork (e.g. NewsArticle) the principles are those of the party primarily responsible for the creation of the CreativeWork.
While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a funder) can be expressed using schema.org terminology."
relatedTo	Person 	The most generic familial relation.
seeks	Demand 	A pointer to products or services sought by the organization or person (demand).
sibling	Person 	A sibling of the person. Supersedes siblings.
sponsor	"Organization  or 
Person "	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
spouse	Person 	The person's spouse.
taxID	Text 	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
telephone	Text 	The telephone number.
vatID	Text 	The Value-added Tax ID of the organization or person.
weight	QuantitativeValue 	The weight of the product or person.
workLocation	"ContactPoint  or 
Place "	A contact location for a person's place of work.
worksFor	Organization 	Organizations that the person works for.
additionalProperty	PropertyValue 	"A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.
Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism."
address	"PostalAddress  or 
Text "	Physical address of the item.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
amenityFeature	LocationFeatureSpecification 	An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.
branchCode	Text 	"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.
For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch."
containedInPlace	Place 	"The basic containment relation between a place and one that contains it. Supersedes containedIn.
Inverse property: containsPlace."
containsPlace	Place 	"The basic containment relation between a place and another that it contains.
Inverse property: containedInPlace."
event	Event 	Upcoming or past event associated with this place, organization, or action. Supersedes events.
faxNumber	Text 	The fax number.
geo	"GeoCoordinates  or 
GeoShape "	The geo coordinates of the place.
geospatiallyContains	"GeospatialGeometry  or 
Place "	"Represents a relationship between two geometries (or the places they represent), relating a containing geometry to a contained geometry. ""a contains b iff no points of b lie in the exterior of a, and at least one point of the interior of b lies in the interior of a"". As defined in DE-9IM."
geospatiallyCoveredBy	"GeospatialGeometry  or 
Place "	Represents a relationship between two geometries (or the places they represent), relating a geometry to another that covers it. As defined in DE-9IM.
geospatiallyCovers	"GeospatialGeometry  or 
Place "	"Represents a relationship between two geometries (or the places they represent), relating a covering geometry to a covered geometry. ""Every point of b is a point of (the interior or boundary of) a"". As defined in DE-9IM."
geospatiallyCrosses	"GeospatialGeometry  or 
Place "	"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that crosses it: ""a crosses b: they have some but not all interior points in common, and the dimension of the intersection is less than that of at least one of them"". As defined in DE-9IM."
geospatiallyDisjoint	"GeospatialGeometry  or 
Place "	"Represents spatial relations in which two geometries (or the places they represent) are topologically disjoint: they have no point in common. They form a set of disconnected geometries."" (a symmetric relationship, as defined in DE-9IM)"
geospatiallyEquals	"GeospatialGeometry  or 
Place "	"Represents spatial relations in which two geometries (or the places they represent) are topologically equal, as defined in DE-9IM. ""Two geometries are topologically equal if their interiors intersect and no part of the interior or boundary of one geometry intersects the exterior of the other"" (a symmetric relationship)"
geospatiallyIntersects	"GeospatialGeometry  or 
Place "	Represents spatial relations in which two geometries (or the places they represent) have at least one point in common. As defined in DE-9IM.
geospatiallyOverlaps	"GeospatialGeometry  or 
Place "	Represents a relationship between two geometries (or the places they represent), relating a geometry to another that geospatially overlaps it, i.e. they have some but not all points in common. As defined in DE-9IM.
geospatiallyTouches	"GeospatialGeometry  or 
Place "	"Represents spatial relations in which two geometries (or the places they represent) touch: they have at least one boundary point in common, but no interior points."" (a symmetric relationship, as defined in DE-9IM )"
geospatiallyWithin	"GeospatialGeometry  or 
Place "	Represents a relationship between two geometries (or the places they represent), relating a geometry to one that contains it, i.e. it is inside (i.e. within) its interior. As defined in DE-9IM.
globalLocationNumber	Text 	The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
hasMap	"Map  or 
URL "	A URL to a map of the place. Supersedes map, maps.
isAccessibleForFree	Boolean 	A flag to signal that the item, event, or place is accessible for free. Supersedes free.
isicV4	Text 	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
logo	"ImageObject  or 
URL "	An associated logo.
maximumAttendeeCapacity	Integer 	The total number of individuals that may attend an event or venue.
openingHoursSpecification	OpeningHoursSpecification 	The opening hours of a certain place.
photo	"ImageObject  or 
Photograph "	A photograph of this place. Supersedes photos.
publicAccess	Boolean 	A flag to signal that the Place is open to public visitors. If this property is omitted there is no assumed default boolean value
review	Review 	A review of the item. Supersedes reviews.
smokingAllowed	Boolean 	Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
specialOpeningHoursSpecification	OpeningHoursSpecification 	"The special opening hours of a certain place.
Use this to explicitly override general opening hours brought in scope by openingHoursSpecificationor openingHours."
telephone	Text 	The telephone number.
